x_deb,y_deb,x_fin,y_fin,is_eating,type_of_pion,color
4,6,4,5,False
4,1,4,2,False
4,5,4,4,False
4,2,4,3,False
5,6,5,5,False
3,1,3,2,False
5,5,5,4,False
4,3,5,4,True,pions,1
6,6,6,5,False
5,4,6,5,True,pions,1
7,6,7,5,False
6,5,6,6,False
5,7,6,6,True,pions,2
5,1,5,2,False
4,4,4,3,False
5,2,4,3,True,pions,1
3,6,3,5,False
4,3,4,4,False
3,7,4,6,False
4,4,4,5,False
4,6,4,5,True,pions,2
3,2,3,3,False
3,5,3,4,False
6,1,6,2,False
7,5,7,4,False
6,2,6,3,False
7,4,7,3,False
7,1,7,2,False
6,6,3,3,True,pions,2
3,0,3,3,True,fou,1
4,5,4,3,False
3,3,4,3,True,reine,1
3,4,4,3,True,reine,2
6,3,6,4,False
7,7,7,4,False
6,4,6,5,False
7,4,7,6,False
6,5,6,6,False
7,6,6,6,True,pions,2
6,0,5,2,False
4,3,5,2,True,cavalier,2
5,0,0,5,False
1,6,0,5,True,fou,2
2,1,2,2,False
2,7,1,6,False
2,2,2,3,False
6,6,6,3,False
2,3,2,4,False
6,3,6,5,False
2,4,2,5,False
1,6,2,5,True,pions,2
2,0,6,4,False
6,5,6,4,True,fou,2
4,0,4,1,False
5,2,4,1,True,roi,2
